R0,TE,TP,TI1,TI2,nuA,ns,p_home_weekend,alphaTH,etaTH,alphaEP,alphaI1D,alphaHD,alphaI1H,eta,deaths
4.051696875,1.298830801,3.033422431,4.366144125,0.385722081,0.245652592,84.07678915,0.724730882,0.10259506,0.047753582,-3.231749049,-2.954389191,-7.846508504,-1.922857787,0.021214232,4394
2.982344886,0.573250652,2.551036625,4.49452523,0.347418384,0.392170587,25.8631898,0.050683308,1.643908481,0.011919881,-3.524546872,-11.2739609,-3.803453527,-3.271146569,0.031448649,111
3.503315571,0.239680987,2.90249301,3.02749384,0.152186198,0.933791643,86.19900112,0.536581244,0.291594064,0.037549983,-2.458625305,-3.527228372,-15.68499811,-2.617848392,0.019604622,18832
4.178389708,1.222901321,3.249925704,3.380651592,0.034025003,0.238369382,37.06886477,0.023862922,1.538175632,0.011308248,-2.794863919,-6.722707989,-4.519353038,-3.795312039,0.033075306,5165
2.528103195,1.521997412,1.561542111,4.028972627,0.108235236,0.982897469,67.78785691,0.261705345,0.7319871,0.03289529,-4.022057316,-10.1366171,-3.424038457,-3.335090357,0.035745433,114
3.148180499,1.707031396,1.622654298,3.699372818,0.32094575,0.362221833,18.98468619,0.675443707,-0.390197581,0.057582475,-2.292362816,-12.47275468,-2.763412376,-1.69800635,0.014389694,41
2.075182322,1.667518168,3.131708603,3.341350122,0.417310897,0.537793366,70.36521109,0.148964258,1.084304284,0.020665728,-1.678945631,-11.77606202,-2.340062769,-3.046004433,0.018785192,78
2.622069052,1.43296125,2.214641239,3.199211849,0.044417269,0.320173983,19.63673241,0.450696912,-0.474655228,0.050361297,-2.696645656,-4.587350071,-2.233287134,-2.588942151,0.023934736,510
3.909197506,0.715983784,2.985731829,4.400338954,0.224370744,0.958389078,34.43821693,0.876510527,-0.474086061,0.061682867,-2.395139293,-5.079076509,-3.052243202,-1.850846467,0.016797057,726
4.26939569,1.782178821,1.367932317,3.437597531,0.191072936,0.615563949,57.15991846,0.834128212,0.145539504,0.049141034,-4.091448755,-6.92806984,-2.744517635,-2.539872685,0.029912438,2330
2.448474233,0.451714274,2.207054957,3.53107351,0.390898763,0.768526164,39.52836981,0.006521469,1.198613414,0.016488097,-3.814513473,-4.798270109,-16.12345688,-2.955824447,0.031740622,376
3.191528723,0.202899122,3.169258598,3.652180421,0.017213713,0.025717436,80.17925817,0.229071761,-0.717160094,0.048041638,-2.516601023,-13.35662813,-2.218643169,-2.77529802,0.023479025,8970
3.786248232,1.84794807,2.041412272,2.901583022,0.13527774,0.644351001,47.13300077,0.065151473,0.550272544,0.024854476,-3.114887481,-11.28109429,-3.389700464,-1.861375017,0.021584886,877
3.876715366,0.663952952,2.368771937,3.634520178,0.378680803,0.813601231,80.36642627,0.909411652,-0.493273908,0.046158724,-3.519131122,-9.15617925,-3.176451264,-2.525381566,0.027819637,3025
2.393218873,0.496143692,2.77947475,3.373039483,0.203654778,0.186734705,97.66682998,0.382450002,-0.052866195,0.056931563,-3.040438754,-5.747260587,-14.08836959,-4.132968766,0.03506419,2329
2.030426192,1.062152098,3.576688286,3.857396743,0.179394559,0.886129638,52.34681578,0.255355864,0.622885109,0.027821579,-1.277542901,-4.030432067,-8.245695114,-3.121001912,0.015111526,128
3.319676777,1.98944748,2.632015031,3.960849564,0.365763586,0.666299699,41.4910001,0.967606708,0.739631121,0.028103402,-2.168816775,-14.06691474,-1.956195665,-1.977821394,0.01768789,291
4.459571181,1.404497364,2.151039042,3.450479198,0.357120199,0.701313274,63.40923918,0.215019478,-0.480001779,0.039516014,-4.056839585,-18.41022798,-4.24565834,-2.351073415,0.030572951,1854
2.233362403,0.899758257,1.452947029,3.086118075,0.09785662,0.092191653,64.46072335,0.630982922,-0.633617761,0.053857294,-2.441885162,-17.88402084,-2.758233084,-3.036938153,0.025170274,1510
2.159458816,1.763398811,2.488995093,4.352665622,0.270902946,0.829827867,88.22106745,0.100799507,0.016475573,0.042140745,-2.991585749,-7.605119111,-2.229784331,-2.867432607,0.026447054,105
3.639286372,0.369867108,1.239866281,4.289255406,0.407056339,0.136616851,43.03542432,0.19078164,0.534966204,0.027742504,-2.555564289,-13.71836834,-1.419427487,-1.242452391,0.011614596,10845
2.265809811,0.269763223,3.379890887,3.609207251,0.308665584,0.476251132,32.02401357,0.752650725,1.341442136,0.011355946,-1.895074403,-15.18059479,-3.125807088,-3.731071942,0.021461975,48
3.996368373,1.654221392,3.678176476,3.237584221,0.478510483,0.864929732,66.46758372,0.65528951,0.448146669,0.024647165,-2.848320791,-8.499196121,-3.148121923,-3.726864252,0.032150128,1163
3.413485224,1.88007822,1.258399404,4.096986217,0.050282155,0.355853512,77.17700643,0.12264089,0.582739757,0.033196236,-3.179933369,-3.775091558,-3.347299752,-2.461494416,0.025648025,5030
3.277389933,1.618970111,1.894760921,3.837644274,0.442280749,0.117302613,94.67336644,0.583097366,0.632705598,0.027910869,-1.878661524,-16.03314413,-3.614091052,-3.757162781,0.022752708,544
4.041591357,1.390591345,1.421910379,2.996974418,0.426880725,0.156834287,30.0465096,0.551823267,0.397439875,0.031635057,-2.673594056,-16.30339599,-1.634815736,-1.681669585,0.016772132,13267
2.833024596,1.497690243,3.999401436,3.999476955,0.026250765,0.724131602,83.60273395,0.897289418,0.918229371,0.01732034,-2.128358232,-13.22697085,-2.364538807,-3.158680277,0.023728571,295
3.350142701,1.946108135,3.279521616,4.181738946,0.066043472,0.169632446,71.67750942,0.799009708,0.477288328,0.029272379,-2.346669412,-17.45630848,-2.563268203,-1.881788515,0.018109211,345
4.389897303,0.547831963,2.694411355,3.733587045,0.088424397,0.420993226,92.96916607,0.095258016,0.486007177,0.031487731,-1.757078459,-4.899501907,-19.77774304,-3.447224112,0.022156581,26563
3.554224518,0.952613992,3.939327408,4.300449958,0.466584368,0.489332401,50.32481696,0.172755512,0.234705444,0.035624879,-3.928928779,-3.682112267,-19.55139112,-1.882496928,0.022902703,258
2.138567699,0.304592901,1.990781448,4.443900627,0.43447299,0.540343877,47.86051689,0.514468033,0.696050594,0.024842185,-3.612344119,-16.39545085,-2.395024581,-1.574604151,0.018462608,64
4.243966121,0.344889518,3.807149111,3.293118707,0.313197571,0.85434047,56.36577469,0.2848404,0.535627262,0.029448388,-3.368809888,-5.523296568,-3.726063752,-4.107877139,0.035450107,12011
2.702201257,0.163911463,1.532715555,3.774731852,0.008118995,0.797794944,10.734378,0.607751577,0.69821804,0.029314812,-2.417287628,-4.370881036,-8.78816004,-2.38644927,0.020760202,1250
4.328502386,0.135230484,2.854062675,4.066208176,0.293107853,0.441945529,60.04045496,0.816587225,0.823810813,0.027184845,-3.299336715,-15.95249466,-4.34651136,-3.880811456,0.03393465,2427
4.1390083,1.128107902,3.547078549,4.134375047,0.244521597,0.009788397,21.14658366,0.40418228,0.616461422,0.027866281,-3.138849908,-3.076411518,-12.52747726,-2.073381017,0.020055458,6017
2.49578667,0.68185997,3.647729642,3.253597057,0.163424304,0.068387966,54.72294708,0.93370777,0.893423895,0.025173974,-3.219664296,-14.52029537,-4.045076031,-2.59673055,0.027475309,163
3.749879176,1.263854051,2.482620575,3.809287478,0.212176454,0.91995897,98.51376281,0.337151168,0.408416436,0.027397615,-2.074621458,-4.754304199,-7.15422187,-3.885733011,0.026912589,10661
2.777417604,0.787125093,1.656927417,3.482710647,0.268954499,0.969691714,44.48783445,0.694083902,-0.583618676,0.069306132,-2.872114521,-4.27650969,-5.29286782,-3.786223154,0.030013626,4932
2.869215888,0.424009339,1.727164018,2.809134714,0.331014085,0.506646394,89.31145862,0.579223313,0.901475825,0.02180843,-3.241720943,-11.2396773,-3.241599988,-3.020371795,0.028010501,4501
4.430868185,0.599152238,2.394615301,3.580505927,0.250065107,0.563099714,24.00675857,0.474063239,0.964630914,0.026619781,-4.201005212,-5.130458304,-9.166562299,-3.508147318,0.037484755,11584
