code,trustId
E05000055,NT4
E05000060,RAL
E05000096,R1K
E05000100,R1K
E05000110,NT4
E05000118,RJZ
E05000129,RRV
E05000135,RAL
E05000186,R1K
E05000202,NT4
E05000212,RAP
E05000229,RJ2
E05000253,RYJ
E05000255,RYJ
E05000289,NT4
E05000306,RF4
E05000326,RAS
E05000335,NT4
E05000364,RQM
E05000376,RKE
E05000406,RAX
E05000423,RJZ
E05000438,NT4
E05000448,RJ2
E05000472,NYW
E05000490,R1H
E05000562,RVR
E05000572,NT3
E05000595,R1H
E05000626,RJ7
E05000630,NMM01
E05000632,RYJ
E05000633,NW603
E05000636,RYJ
E05000641,8A718
E05000643,NW602
E05000658,RMC
E05000659,NT4
E05000672,RW6
E05000723,RW6
E05000740,NT4
E05000742,RW6
E05000776,NVC
E05000784,NT4
E05000799,RWJ
E05000801,RMP
E05000827,R0A
E05000861,RRF
E05000889,REM
E05000897,REM
E05000898,NT3
E05000901,RBS
E05000925,DC807
E05000929,RBN
E05000941,RVY
E05000958,RBL
E05000965,RBL
E05000969,RBL
E05000988,RFF
E05001019,RHQ
E05001077,RR7
E05001119,RTF
E05001152,R0B
E05001161,R0B
E05001176,NT3
E05001223,NT4
E05001237,NVC
E05001254,RNA
E05001283,RXK
E05001299,NT3
E05001314,RBK
E05001330,RL4
E05001338,NT2
E05001343,NVC
E05001349,RCF
E05001364,RAE
E05001373,NT3
E05001383,RWY
E05001391,RXF
E05001402,NT4
E05001407,RWY
E05001455,RXF
E05001459,RXF
E05001536,RVW
E05001545,NT2
E05001656,NT3
E05001690,RCB
E05001691,RWA
E05001696,NNF
E05001710,NT3
E05001717,NTE
E05001720,RJL
E05001744,RJL
E05001770,RTG
E05001777,NT2
E05002086,NT2
E05002196,RC9
E05002219,RAJ
E05002221,NT3
E05002252,RPA
E05002326,NT3
E05002330,RHW
E05002334,NV3
E05002422,RXH
E05002423,NT3
E05002440,NT2
E05002445,RHU
E05002457,NTP
E05002467,NT3
E05002643,NT4
E05002674,RXQ
E05002712,RGT
E05002714,NT2
E05003149,RTX
E05003339,RFS
E05003513,RH8
E05004029,RDD
E05004078,NT2
E05004081,NT3
E05004103,AND
E05004115,NVC
E05004149,NYW
E05004183,RQW
E05004197,RQ8
E05004290,NT2
E05004293,RTE
E05004430,NT418
E05004451,RN5
E05004705,RWG
E05004737,NVC
E05004769,NVC
E05004791,NT3
E05004817,RWH
E05004986,ADP
E05004995,RWF
E05005098,NN8
E05005130,NWF
E05005141,NT2
E05005142,RWF
E05005149,NT3
E05005160,RXR
E05005171,RXN
E05005180,NVC
E05005214,RXR
E05005253,RXR
E05005363,RVY
E05005365,NVC
E05005504,RWE
E05005532,NT3
E05005794,RGP
E05005996,RP1
E05005998,NVC
E05006000,RNQ
E05006396,RP5
E05006548,RTH
E05006551,NT2
E05006785,NTP
E05006906,S08000015
E05006927,RTG
E05007118,RDE
E05007285,RVR
E05007294,NT4
E05007298,NT2
E05007309,NVC
E05007317,NT3
E05007395,NVC
E05007475,RLT
E05007680,NXM04
E05007688,RXH
E05007689,NT2
E05007696,RYR
E05007699,NT4
E05007874,RWP
E05007881,NT3
E05007894,RWP
E05007904,NT4
E05008144,RXW
E05008181,NT2
E05008360,NVC
E05008502,R1F
E05008615,NT3
E05008633,RBT
E05008745,RJE
E05008752,NT4
E05008754,RC1
E05008845,NT4
E05008884,RK5
E05008943,RVW
E05008952,RX3
E05008966,RN3
E05008972,NT4
E05008986,RKB
E05009037,RXP
E05009038,RXP
E05009043,RXP
E05009070,RXP
E05009093,RTF
E05009103,RTF
E05009111,RTF
E05009117,RTF
E05009119,RTF
E05009124,RTF
E05009149,RTF
E05009190,REF
E05009228,REF
E05009270,NVC
E05009305,R1H
E05009329,NT4
E05009336,R1H
E05009351,RDU
E05009376,RQX
E05009388,NV7
E05009405,RQM
E05009424,NT4
E05009449,RLQ
E05009460,NT2
E05009610,NT4
E05009623,RWD
E05009680,RTR
E05009690,NT4
E05009707,NVC
E05009731,NT3
E05009850,AX401
E05009853,NVC
E05009863,RTR
E05009967,RXW
E05010164,RWD
E05010305,RA3
E05010318,RCB
E05010320,NT2
E05010327,NVC
E05010347,RXQ
E05010367,RQ8
E05010427,RXP
E05010429,NT4
E05010460,RWE
E05010463,RWE
E05010464,RWE
E05010467,NT2
E05010491,RJE
E05010496,NVC
E05010579,NT3
E05010665,NT3
E05010670,RRE
E05010690,RK5
E05010739,RP5
E05010748,NVC
E05010784,RWD
E05010791,NT4
E05010800,NT2
E05010822,RGN
E05010825,NVC
E05010834,NVC
E05010835,RDE
E05010860,RHQ
E05010861,RHQ
E05010863,NYW
E05010869,NT4
E05010892,RA7
E05010893,NT2
E05010904,RVJ
E05010909,NT3
E05010922,NVC
E05010948,RBN
E05010958,NVC
E05011005,NT4
E05011016,NT2
E05011019,RH8
E05011024,NT3
E05011038,RWW
E05011056,RWG
E05011064,AVQ
E05011104,NW6
E05011134,NT4
E05011145,RRK
E05011151,RTH
E05011168,RXK
E05011178,RRK
E05011198,NT2
E05011206,NT3
E05011239,NT3
E05011251,NTP
E05011257,RGN
E05011297,NT3
E05011317,RCD
E05011330,NT4
E05011351,R0A
E05011352,R0A
E05011360,RW6
E05011363,NT3
E05011378,AY001
E05011380,NW616
E05011385,RGD
E05011390,RR8
E05011394,RR8
E05011403,NT2
E05011410,NT3
E05011411,NT3
E05011433,NT2
E05011453,RTD
E05011457,NT2
E05011482,NT4
E05011488,RJ6
E05011501,RTX
E05011510,NT4
E05011513,RXR
E05011529,RWA
E05011549,RR8
E05011553,RK5
E05011579,RXC
E05011645,NXM
E05011668,NT2
E05011780,AVQ
E05011793,RH8
E05011805,RH8
E05011871,NT3
E05011984,NTP
E05012019,RXR
E05012028,RDU
E05012112,NTP
E05012184,NT3
E05012199,NVC
E05012208,RXN
E05012218,NT2
E05012242,RJR
E05012267,RA9
E05012268,NVC
E05012283,RX1
E05012288,RX1
E05012347,NT4
E05012391,RCB
E05012392,RN7
E05012413,RBZ
E05012438,RTR
E05012445,RX3
E05012466,NT4
E05012478,RD1
E05012482,NV3
E05012504,NT4
E05012543,RA4
E05012562,RNN
E05012624,NT2
E05012630,RYG
E05012653,NT2
E05012666,RDZ
E05012674,NT4
E05012696,NT4
E05012698,RBD
E05012751,NT2
E05012763,NT4
E05012798,RGR
E05012815,RH5
E05012822,NT2
E05012874,RTP
E05012895,NN802
E05012928,RN5
E05012949,RNN
E05012990,NT4
W05000043,7A1
W05000065,7A1
W05000096,7A1
W05000100,7A1
W05000103,7A1
W05000109,7A1
W05000113,7A6
W05000114,7A1
W05000115,7A1
W05000124,7A1
W05000150,7A1
W05000153,7A1
W05000175,7A1
W05000211,7A1
W05000221,7A1
W05000232,7A1
W05000241,7A1
W05000246,7A1
W05000270,7A1
W05000289,7A7
W05000306,7A7
W05000311,7A7
W05000324,7A7
W05000330,7A7
W05000338,7A7
W05000346,7A7
W05000353,7A7
W05000354,7A7
W05000362,7A2
W05000394,7A2
W05000433,7A1
W05000463,7A2
W05000465,7A2
W05000470,7A2
W05000474,7A2
W05000485,7A2
W05000546,7A3
W05000551,7A3
W05000590,7A3
W05000614,7A3
W05000622,7A3
W05000624,7A3
W05000640,7A4
W05000677,7A5
W05000701,7A5
W05000710,7A5
W05000734,7A6
W05000750,7A6
W05000780,7A6
W05000803,7A6
W05000813,7A6
W05000823,7A6
W05000837,7A6
W05000850,7A6
W05000864,7A4
W05000866,7A4
W05000877,7A4
W05000881,7A4
W05000918,7A1
W05000933,7A4
W05000936,7A6
W05000938,7A6
W05000954,7A2
W05000972,7A3
W05000978,7A3
W05000984,7A1
W05000985,7A1
W05000995,7A6
W05001024,7A5
W05001025,7A5
E05012808,RH5
E05012821,RH5
E05012831,RH5
E05012839,RH5
E05012393,RN7
E05012396,RN7
E05012397,RN7
E05012401,RN7
E05012405,RN7
E05012406,RN7
E05012039,NN802
E05012887,NN802
E05012889,NN802
E05012890,NN802
E05012897,NN802
E05012898,NN802
E05012899,NN802
E05005995,RNQ
E05005999,RNQ
E05006001,RNQ
E05006003,RNQ
E05008549,RNQ
E05008614,RBT
E05008616,RBT
E05008621,RBT
E05008622,RBT
E05008623,RBT
E05008659,RBT
E05004765,RWH
E05004810,RWH
E05004811,RWH
E05004814,RWH
E05004816,RWH
