code,area_name,cases_per_100k,cases,dates,population,rank,region
W06000024,Merthyr Tydfil,177,107,Jun 23-29,60326,1,Wales
E06000016,Leicester,140,496,Jun 16-21,354224,2,East Midlands
W06000006,Wrexham,76,104,Jun 23-29,135957,3,Wales
E08000032,Bradford,69,375,Jun 16-21,539776,4,Yorkshire and The Humber
E08000016,Barnsley,55,135,Jun 16-21,246866,5,Yorkshire and The Humber
E08000005,Rochdale,54,119,Jun 16-21,222412,6,North West
E06000055,Bedford,42,73,Jun 16-21,173292,7,East of England
E08000004,Oldham,39,92,Jun 16-21,237110,8,North West
E08000018,Rotherham,34,89,Jun 16-21,265411,9,Yorkshire and The Humber
E08000008,Tameside,33,75,Jun 16-21,226493,10,North West
E06000008,Blackburn with Darwen,33,49,Jun 16-21,149696,11,North West
E08000034,Kirklees,30,133,Jun 16-21,439787,12,Yorkshire and The Humber
E06000031,Peterborough,28,56,Jun 16-21,202259,13,East of England
E06000032,Luton,27,57,Jun 16-21,213052,14,East of England
E06000015,Derby,25,63,Jun 16-21,257302,15,East Midlands
E06000010,Kingston upon Hull,23,59,Jun 16-21,259778,16,Yorkshire and The Humber
E08000003,Manchester,22,119,Jun 16-21,552858,17,North West
W06000001,Isle of Anglesey,21,15,Jun 23-29,70043,18,Wales
E06000033,Southend-on-Sea,21,38,Jun 16-21,183125,19,East of England
E10000018,Leicestershire,21,147,Jun 16-21,706155,20,East Midlands
E08000019,Sheffield,21,121,Jun 16-21,584853,21,Yorkshire and The Humber
E08000035,Leeds,20,157,Jun 16-21,793139,22,Yorkshire and The Humber
E08000015,Wirral,19,62,Jun 16-21,324011,23,North West
E08000036,Wakefield,19,65,Jun 16-21,348312,24,Yorkshire and The Humber
E06000021,Stoke-on-Trent,18,46,Jun 16-21,256375,25,West Midlands
E08000017,Doncaster,17,54,Jun 16-21,311890,26,Yorkshire and The Humber
E06000049,Cheshire East,16,62,Jun 16-21,384152,27,North West
E06000056,Central Bedfordshire,16,46,Jun 16-21,288648,28,East of England
E08000001,Bolton,16,45,Jun 16-21,287550,29,North West
W06000003,Conwy,15,18,Jun 23-29,117203,30,Wales
E10000017,Lancashire,15,183,Jun 16-21,1219799,31,North West
E10000021,Northamptonshire,15,112,Jun 16-21,753278,32,East Midlands
E06000004,Stockton-on-Tees,15,29,Jun 16-21,197348,33,North East
E06000011,East Riding of Yorkshire,14,48,Jun 16-21,341173,34,Yorkshire and The Humber
E10000023,North Yorkshire,14,85,Jun 16-21,618054,35,Yorkshire and The Humber
E06000051,Shropshire,14,44,Jun 16-21,323136,36,West Midlands
E10000016,Kent,13,213,Jun 16-21,1581555,37,South East
E06000039,Slough,13,20,Jun 16-21,149539,38,South East
E08000002,Bury,13,25,Jun 16-21,190990,39,North West
E10000024,Nottinghamshire,13,105,Jun 16-21,828224,40,East Midlands
E08000033,Calderdale,12,26,Jun 16-21,211455,41,Yorkshire and The Humber
E08000007,Stockport,12,36,Jun 16-21,293423,42,North West
E06000050,Cheshire West and Chester,12,42,Jun 16-21,343071,43,North West
E06000034,Thurrock,12,21,Jun 16-21,174341,44,East of England
E06000042,Milton Keynes,11,29,Jun 16-21,269457,45,South East
E06000009,Blackpool,11,15,Jun 16-21,139446,46,North West
E06000018,Nottingham,11,35,Jun 16-21,332900,47,East Midlands
E06000030,Swindon,10,23,Jun 16-21,222193,48,South West
E10000031,Warwickshire,10,60,Jun 16-21,577933,49,West Midlands
E08000006,Salford,10,26,Jun 16-21,258834,50,North West
E08000009,Trafford,10,24,Jun 16-21,237354,51,North West
E08000031,Wolverhampton,10,26,Jun 16-21,263357,52,West Midlands
E10000007,Derbyshire,10,78,Jun 16-21,802694,53,East Midlands
E08000025,Birmingham,10,110,Jun 16-21,1141816,54,West Midlands
W06000002,Gwynedd,10,12,Jun 23-29,124560,55,Wales
E10000028,Staffordshire,9,82,Jun 16-21,879560,56,West Midlands
E06000007,Warrington,9,19,Jun 16-21,210014,57,North West
E10000011,East Sussex,9,50,Jun 16-21,557229,58,South East
E06000020,Telford and Wrekin,8,15,Jun 16-21,179854,59,West Midlands
E08000014,Sefton,8,23,Jun 16-21,276410,60,North West
N09000008,Mid and East Antrim,8,11,Jun 17-23,139274,61,Northern Ireland
E06000002,Middlesbrough,8,11,Jun 16-21,140980,62,North East
E09000020,Kensington and Chelsea,8,12,Jun 16-21,156129,63,London
E09000018,Hounslow,7,20,Jun 16-21,271523,64,London
E08000028,Sandwell,7,24,Jun 16-21,328450,65,West Midlands
E06000014,York,7,14,Jun 16-21,210618,66,Yorkshire and The Humber
E08000013,St. Helens,7,12,Jun 16-21,180585,67,North West
