beta[3] beta[4] progress[1] progress[2] progress[3] progress[4]
0.852952331 0.806986146 0.685714346 0.882078851 0.702989247 0.762893042
0.799431038 0.768065933 0.898255258 0.564967530 0.642736842 0.667205419
0.679819466 0.699613897 0.592536481 0.548237199 0.714079702 0.694369424
0.736954595 0.882513217 0.833826683 0.405818190 0.608279440 0.643355047
0.568623178 0.764098492 0.885845399 0.249479172 0.650615213 0.834785750
0.689086684 0.832509541 0.667115058 0.816181208 0.862973544 0.874720554
0.809028630 0.730604713 0.726715775 0.369259053 0.832022334 0.590257577
0.931858714 0.785756062 0.773830054 0.754801140 0.882579751 0.745642635
0.751740396 0.607984981 0.519700522 0.300157075 0.936938781 0.846500167
0.900310946 0.749556863 0.796683593 0.318587961 0.868805190 0.883383529
0.800562157 0.893923829 0.747105524 0.900878533 0.724761997 0.910542892
0.584516867 0.672056369 0.543069558 0.365792450 0.688324128 0.769943623
0.896478842 0.809914537 0.565060804 0.290491510 0.575177546 0.709017042
0.632553729 0.649896658 0.913979448 0.064193828 0.837909993 0.782949893
0.766895174 0.715835675 0.753641063 0.186163640 0.669381739 0.624118662
0.576138475 0.537827122 0.933181783 0.579259622 0.626663064 0.729388897
0.509283133 0.908475451 0.779130051 0.768815409 0.573380911 0.946935156
0.624937913 0.589488962 0.818903275 0.478095877 0.749881620 0.916988409
0.705076339 0.918642350 0.759862587 0.652655467 0.812527434 0.681833096
0.764763554 0.685436696 0.576854147 0.850482680 0.990560960 0.705939134
0.787405894 0.938416798 0.740470303 0.160362620 0.698846310 0.903986793
0.862160128 0.572004014 0.872900230 0.483452814 0.897507203 0.734989489
0.866710527 0.887332783 0.937761463 0.201537575 0.851236629 0.754328207
0.947057952 0.722960154 0.651765790 0.398450985 0.546983448 0.953981735
0.616550736 0.901227968 0.681989867 0.462144922 0.555625039 0.580635371
0.504129651 0.663943429 0.617150043 0.933775356 0.802765877 0.830470283
0.542779295 0.553521868 0.809149924 0.692941509 0.791885627 0.594818872
0.940992679 0.970525231 0.856739171 0.523900195 0.961214837 0.616461014
0.986167256 0.953852729 0.605378115 0.268855819 0.824541252 0.637174916
0.969439551 0.932729118 0.709688968 0.630722149 0.930797563 0.968612654
0.834926868 0.609354046 0.635072697 0.017395083 0.750905639 0.819729931
0.662884156 0.817676078 0.533043352 0.218858211 0.848425880 0.719743028
0.673726731 0.872040329 0.569567560 0.712521715 0.593500202 0.792604814
0.592780936 0.962921510 0.986433800 0.598137568 0.736745569 0.554347356
0.783084476 0.705824517 0.843835278 0.749693977 0.677168289 0.785337100
0.645818125 0.558818052 0.962848244 0.719688345 0.526447807 0.975220040
0.961733671 0.628018771 0.994377616 0.008037097 0.777371510 0.991194888
0.566332708 0.835900475 0.802296799 0.260988896 0.731618018 0.684769000
0.825009684 0.635152218 0.514687781 0.973304507 0.504330910 0.542763061
0.716747526 0.503516562 0.863457737 0.096021608 0.953758236 0.892675039
0.884074247 0.521394227 0.587786372 0.613703489 0.791269328 0.938929081
0.976795719 0.780142217 0.879980029 0.115830323 0.660191974 0.632728173
0.843257263 0.740215717 0.827159871 0.826896746 0.911822894 0.570290268
0.556725348 0.512350031 0.957936718 0.182183816 0.760970923 0.531119069
0.603528895 0.544720979 0.646590713 0.448955620 0.585245782 0.606232972
0.820509583 0.982695406 0.610847288 0.922969530 0.641596799 0.540941239
0.639178240 0.582302638 0.550444293 0.842365247 0.981933153 0.965243172
0.692427369 0.988356465 0.921069890 0.514167156 0.563015969 0.877349316
0.998033104 0.617626104 0.626631416 0.338362252 0.534474424 0.558877882
0.728565854 0.854873550 0.942330899 0.074025673 0.902577588 0.520122325
0.534541925 0.943102448 0.693806182 0.675916109 0.886360671 0.996920959
0.880878159 0.792592351 0.979089171 0.953675377 0.520131401 0.509341814
0.921977905 0.859809452 0.504253883 0.794669241 0.773811876 0.814677282
0.524001834 0.681899611 0.967150925 0.645871464 0.944972134 0.802487809
0.913380305 0.844941326 0.707501387 0.039677746 0.998097975 0.855111320
0.742866364 0.597574999 0.784882392 0.140173011 0.515937169 0.865655473
0.525641006 0.750020178 0.722016504 0.992284439 0.613959930 0.651766961
0.656586731 0.526867914 0.665602551 0.422558837 0.972234823 0.504809062
0.953761886 0.650136460 0.903169352 0.889487023 0.922284686 0.926525118
0.713899462 0.999575019 0.536148434 0.119525056 0.620528371 0.663924764
