beta[2] beta[3] beta[4] progress[1] progress[2] progress[3] progress[4] too_ill_to_move[3] too_ill_to_move[4]
0.0396911522 0.5487738012 0.4820402197 0.4917127313 0.7742976767 0.6128348157 0.7267082989 0.6840667738 0.7018888797
0.7294788517 0.4236460749 0.5140176034 0.7666981902 0.4031789148 0.4675362928 0.3316118737 0.3261629055 0.5032876053
0.2940997886 0.7397552424 0.5851974157 0.5933214784 0.6098004712 0.4313774360 0.4267471163 0.3726585552 0.8626914971
0.4117703374 0.5074890216 0.3288689441 0.4084163311 0.8264602178 0.4958686139 0.5297377669 0.3129963989 0.6687390271
0.5366404451 0.7915200822 0.7097633424 0.7255256459 0.4756592319 0.3916771772 0.3706733636 0.2161266769 0.1639703291
0.6555091723 0.3483840080 0.5585651195 0.4524178774 0.3879190864 0.1311428053 0.7498422161 0.7785942887 0.3920504574
0.4363137900 0.4569052474 0.4369892930 0.5614955917 0.4121801245 0.3273547370 0.5528248166 0.7099086200 0.7776557585
0.2463868505 0.4948421952 0.6068440302 0.1777191717 0.8405302806 0.6805271909 0.8311193497 0.6399143760 0.8074496674
0.6444230528 0.4462682591 0.5365366836 0.7214211206 0.6453710082 0.6575835668 0.3002990858 0.4648362189 0.5613574403
0.6583455018 0.7470730307 0.1759051376 0.3207495354 0.3624501574 0.7366646401 0.2518621044 0.7459265533 0.6872731857
0.7600533131 0.2488154595 0.4900348198 0.2677835688 0.3933763044 0.6470712473 0.2676780433 0.6128373588 0.6516209335
0.6853103927 0.5312182120 0.3975446404 0.7024138165 0.3668950885 0.7664228257 0.8672241965 0.1466297489 0.3545850729
0.5327357143 0.8358976342 0.3177367955 0.8024160165 0.3398307877 0.5415516458 0.2116358927 0.4455520069 0.8722555856
0.8559674392 0.1972565770 0.4464444125 0.6651944320 0.1221153416 0.4886138589 0.3207460098 0.1915650215 0.5393449721
0.1325608294 0.7144918235 0.3625094241 0.0558504403 0.7322899112 0.3083185289 0.4585827779 0.8456074871 0.5132607700
0.3732279952 0.2233245182 0.3010464598 0.5710305761 0.7009713560 0.5539789701 0.6030268155 0.1346041953 0.9401526957
0.7985073644 0.1100397419 0.8744668717 0.2573719975 0.8483152684 0.0822716112 0.6183204046 0.2433934273 0.3843973710
0.5213370115 0.5372794710 0.2844120421 0.9078104767 0.5830269537 0.3594686243 0.7735890718 0.8734335258 0.2683155521
