beta[3] beta[4] progress[2] progress[3] progress[4] r0 dt
1.2493292 1.2493292 0.2099612 1.0000000 0.7645692 2.8833596 3.4217855
1.2697833 1.2697833 0.2254784 1.0000000 0.8233796 2.8119435 3.3265831
1.2940905 1.2940905 0.1839412 1.0000000 0.6319029 3.3420166 3.2575081
1.0299572 1.0299572 0.1832326 1.0000000 0.4044137 3.5767487 3.4319359
0.8122362 0.8122362 0.1997957 1.0000000 0.3783893 2.9587984 4.1403029
1.4079990 1.4079990 0.2288034 1.0000000 0.5784032 3.8422856 2.5286413
1.0239630 1.0239630 0.2348864 1.0000000 0.4707270 3.1992428 3.2270365
0.8888644 0.8888644 0.2161303 1.0000000 0.4404423 2.9069823 3.8585307
1.0047654 1.0047654 0.2126370 1.0000000 0.6106559 2.6501526 3.9887799
1.0969756 1.0969756 0.1964194 1.0000000 0.5346395 3.1487799 3.5014208
1.3621185 1.3621185 0.1715542 1.0000000 0.5844495 3.6927191 3.1061105
0.8408856 0.8408856 0.1892539 1.0000000 0.4292371 2.7999094 4.3875112
0.9102594 0.9102594 0.1775604 1.0000000 0.4136797 3.1106560 4.0527833
0.9209274 0.9209274 0.1901662 1.0000000 0.3423771 3.6107314 3.5161817
1.0216056 1.0216056 0.2010070 1.0000000 0.6846584 2.5137447 4.3068662
0.8373256 0.8373256 0.2458476 1.0000000 0.3566876 3.1848299 3.4759382
1.2567406 1.2567406 0.2072696 1.0000000 0.5561954 3.5162713 2.9681384
1.6591669 1.6591669 0.1677742 1.0000000 0.8634437 3.5807362 2.9832571
1.2296537 1.2296537 0.1819509 1.0000000 0.4864091 3.7576774 3.0949679
1.1406952 1.1406952 0.2300034 1.0000000 0.6059637 3.0231432 3.2417084
1.4407054 1.4407054 0.2216598 1.0000000 0.7388410 3.3906586 2.7627530
0.9802527 0.9802527 0.2421236 1.0000000 0.3908337 3.4883597 3.0670163
0.9412357 0.9412357 0.1929598 1.0000000 0.4369017 3.0955777 3.8239266
1.1676169 1.1676169 0.1683485 1.0000000 0.4567735 3.7238442 3.3274261
0.9047046 0.9047046 0.2046871 1.0000000 0.3578989 3.4325262 3.5148507
1.1541664 1.1541664 0.1914560 1.0000000 0.6508521 2.9274822 3.6862804
1.1792498 1.1792498 0.2395910 1.0000000 0.4758216 3.6575941 2.7489244
0.8982995 0.8982995 0.2361190 1.0000000 0.5437345 2.5503915 4.0767678
0.7143221 0.7143221 0.2027628 1.0000000 0.3788933 2.5996076 4.8301671
1.5790131 1.5790131 0.1737056 1.0000000 0.9291968 3.2783441 3.1765473
0.8847427 0.8847427 0.1811183 1.0000000 0.5075541 2.6278921 4.6553171
1.5549074 1.5549074 0.1853466 1.0000000 0.6607563 3.9081311 2.7113222
1.0958717 1.0958717 0.1983886 1.0000000 0.4517720 3.5215900 3.2257148
1.3785763 1.3785763 0.2490328 1.0000000 0.8567777 2.9876008 2.8852136
0.8268860 0.8268860 0.2114314 1.0000000 0.3717069 3.0514505 3.8945482
0.9875896 0.9875896 0.1705814 1.0000000 0.3446783 3.8528396 3.4792578
1.1543022 1.1543022 0.2144903 1.0000000 0.4173785 3.9199029 2.8325946
1.4068478 1.4068478 0.1942857 1.0000000 0.7048840 3.4027050 3.0097155
1.1348192 1.1348192 0.2200393 1.0000000 0.5253136 3.2950890 3.1315921
0.9000307 0.9000307 0.2053294 1.0000000 0.4980899 2.7069952 4.1842460
1.1374382 1.1374382 0.1866583 1.0000000 0.4028162 3.9611535 3.0588788
1.2210287 1.2210287 0.1768117 1.0000000 0.7902335 2.7661779 3.9836557
0.8413258 0.8413258 0.1792721 1.0000000 0.3505179 3.2415621 4.0529178
0.7952872 0.7952872 0.2441388 1.0000000 0.3903455 2.8326803 3.8816542
1.1296951 1.1296951 0.1760144 1.0000000 0.5134997 3.3296865 3.5422273
1.6051118 1.6051118 0.2251941 1.0000000 0.7277146 3.8108003 2.4239748
0.6854959 0.6854959 0.1727720 1.0000000 0.3624991 2.5765235 5.4204610
1.9689552 1.9689552 0.1689839 1.0000000 0.9800503 3.9779899 2.5918580
0.9438961 0.9438961 0.2318323 1.0000000 0.3347141 3.7639028 3.0591752
1.3028070 1.3028070 0.2192647 1.0000000 0.9080696 2.7375066 3.4301854
