beta[3] beta[4] progress[2] progress[3] progress[4]
1.2493292 1.2493292 0.2099612 1.0000000 0.7645692
1.2697833 1.2697833 0.2254784 1.0000000 0.8233796
1.2940905 1.2940905 0.1839412 1.0000000 0.6319029
1.0299572 1.0299572 0.1832326 1.0000000 0.4044137
0.8122362 0.8122362 0.1997957 1.0000000 0.3783893
1.4079990 1.4079990 0.2288034 1.0000000 0.5784032
1.0239630 1.0239630 0.2348864 1.0000000 0.4707270
0.8888644 0.8888644 0.2161303 1.0000000 0.4404423
1.0047654 1.0047654 0.2126370 1.0000000 0.6106559
1.0969756 1.0969756 0.1964194 1.0000000 0.5346395
1.3621185 1.3621185 0.1715542 1.0000000 0.5844495
0.8408856 0.8408856 0.1892539 1.0000000 0.4292371
0.9102594 0.9102594 0.1775604 1.0000000 0.4136797
0.9209274 0.9209274 0.1901662 1.0000000 0.3423771
1.0216056 1.0216056 0.2010070 1.0000000 0.6846584
0.8373256 0.8373256 0.2458476 1.0000000 0.3566876
1.2567406 1.2567406 0.2072696 1.0000000 0.5561954
1.6591669 1.6591669 0.1677742 1.0000000 0.8634437
1.2296537 1.2296537 0.1819509 1.0000000 0.4864091
1.1406952 1.1406952 0.2300034 1.0000000 0.6059637
1.4407054 1.4407054 0.2216598 1.0000000 0.7388410
0.9802527 0.9802527 0.2421236 1.0000000 0.3908337
0.9412357 0.9412357 0.1929598 1.0000000 0.4369017
1.1676169 1.1676169 0.1683485 1.0000000 0.4567735
0.9047046 0.9047046 0.2046871 1.0000000 0.3578989
1.1541664 1.1541664 0.1914560 1.0000000 0.6508521
1.1792498 1.1792498 0.2395910 1.0000000 0.4758216
0.8982995 0.8982995 0.2361190 1.0000000 0.5437345
0.7143221 0.7143221 0.2027628 1.0000000 0.3788933
1.5790131 1.5790131 0.1737056 1.0000000 0.9291968
0.8847427 0.8847427 0.1811183 1.0000000 0.5075541
1.5549074 1.5549074 0.1853466 1.0000000 0.6607563
1.0958717 1.0958717 0.1983886 1.0000000 0.4517720
1.3785763 1.3785763 0.2490328 1.0000000 0.8567777
0.8268860 0.8268860 0.2114314 1.0000000 0.3717069
0.9875896 0.9875896 0.1705814 1.0000000 0.3446783
1.1543022 1.1543022 0.2144903 1.0000000 0.4173785
1.4068478 1.4068478 0.1942857 1.0000000 0.7048840
1.1348192 1.1348192 0.2200393 1.0000000 0.5253136
0.9000307 0.9000307 0.2053294 1.0000000 0.4980899
1.1374382 1.1374382 0.1866583 1.0000000 0.4028162
1.2210287 1.2210287 0.1768117 1.0000000 0.7902335
0.8413258 0.8413258 0.1792721 1.0000000 0.3505179
0.7952872 0.7952872 0.2441388 1.0000000 0.3903455
1.1296951 1.1296951 0.1760144 1.0000000 0.5134997
1.6051118 1.6051118 0.2251941 1.0000000 0.7277146
0.6854959 0.6854959 0.1727720 1.0000000 0.3624991
1.9689552 1.9689552 0.1689839 1.0000000 0.9800503
0.9438961 0.9438961 0.2318323 1.0000000 0.3347141
1.3028070 1.3028070 0.2192647 1.0000000 0.9080696
