incu IP rzero
4.762785 2.307926 2.883360
4.435014 2.214507 2.811944
5.436519 2.582522 3.342017
5.457545 3.472716 3.576749
5.005112 3.642781 2.958798
4.370564 2.728898 3.842286
4.257378 3.124373 3.199243
4.626838 3.270445 2.906982
4.702850 2.637584 2.650153
5.091147 2.870419 3.148780
5.829063 2.711012 3.692719
5.283907 3.329715 2.799909
5.631886 3.417329 3.110656
5.258559 3.920756 3.610731
4.974951 2.460582 2.513745
4.067561 3.803574 3.184830
4.824635 2.797929 3.516271
5.960391 2.158153 3.580736
5.495989 3.055883 3.757677
4.347761 2.650264 3.023143
4.511417 2.353471 3.390659
4.130122 3.558633 3.488360
5.182426 3.288844 3.095578
5.940059 3.189269 3.723844
4.885506 3.794085 3.432526
5.223131 2.536447 2.927482
4.173779 3.101628 3.657594
4.235153 2.839133 2.550392
4.931872 3.639265 2.599608
5.756867 2.076198 3.278344
5.521253 2.970233 2.627892
5.395297 2.513417 3.908131
5.040612 3.213506 3.521590
4.015535 2.167164 2.987601
4.729666 3.690292 3.051451
5.862303 3.901256 3.852840
4.662216 3.395907 3.919903
5.147059 2.418673 3.402705
4.544642 2.903625 3.295089
4.870223 3.007670 2.706995
5.357382 3.482522 3.961154
5.655735 2.265449 2.766178
5.578113 3.852921 3.241562
4.096030 3.561833 2.832680
5.681354 2.947421 3.329686
4.440613 2.374165 3.810800
5.787976 3.758627 2.576523
5.917725 2.020356 3.977990
4.313463 3.987624 3.763903
4.560697 2.101237 2.737507
