incu IP rzero
5.395651 2.573168 3.134130
4.977467 2.999874 3.736086
5.684074 3.421232 3.317954
4.469726 2.901530 3.811468
4.260332 2.264015 3.596057
4.799855 2.415054 3.169007
4.877560 3.181579 2.654333
5.469336 3.224044 2.778580
5.954558 3.751505 3.847022
5.004768 3.845147 3.568265
5.545759 2.751868 2.816054
4.409886 3.526916 2.953650
5.275243 3.468802 3.768764
4.334466 2.510412 3.120447
5.624406 3.105755 3.479368
5.216337 3.589057 2.883808
4.538054 2.614689 3.342362
4.399969 3.945878 2.845382
5.759299 2.081017 3.410242
4.614663 2.528199 3.721465
5.802636 2.936654 2.608159
5.172563 2.348702 2.533821
4.059090 2.162473 3.263957
5.492927 2.665052 3.656360
4.839155 3.044034 2.988885
4.489721 3.344369 3.306213
5.401970 3.884474 3.906255
4.146277 3.254172 3.915118
4.747890 2.155241 2.633433
5.289085 3.391449 3.204435
4.716989 3.318643 3.852874
5.895287 2.864938 3.015961
5.336152 2.461421 3.087133
4.571996 2.048354 3.399459
5.599063 3.692774 3.496144
5.130319 3.637486 2.527122
5.976464 2.398091 3.685619
4.189975 3.818653 3.248275
4.951323 3.017690 3.437392
4.292370 2.775900 2.895342
4.882379 3.765789 3.066858
5.064743 2.820455 2.680510
4.094465 2.692905 3.529624
5.641586 3.153162 3.975066
5.840738 2.202973 2.720687
4.016594 2.035093 2.751322
5.770021 3.506157 2.926301
4.641839 3.960511 3.955128
4.208923 3.661968 2.586662
5.118845 2.312649 3.610541
